adwaita-icon-theme-3.38.0      GNOME Symbolic Icons
ncurses-6.2.20210626           Library for terminal-independent, full-screen output
neofetch-7.1.0                 Fast, highly customizable system info script
neovim-0.5.0                   Next-generation Vim
nettle-3.7.3                   Low-level cryptographic library
nspr-4.32                      Platform-neutral API for system level and libc like functions
nss-3.68                       Libraries to support development of security-enabled applications
opus-1.3.1                     IETF audio codec
orc-0.4.31                     Library and toolset to operate arrays of data
p11-kit-0.24.0                 Library for loading and enumerating of PKCS#11 modules
p5-Authen-SASL-2.16_1          Perl5 module for SASL authentication
p5-CGI-4.53                    Handle Common Gateway Interface requests and responses
p5-Clone-0.45                  Recursively copy Perl datatypes
p5-Digest-HMAC-1.04            Perl5 interface to HMAC Message-Digest Algorithms
p5-Encode-Locale-1.05          Determine the locale encoding
p5-Error-0.17029               Error/exception handling in object-oriented programming style
p5-GSSAPI-0.28_1               Perl extension providing access to the GSSAPIv2 library
p5-HTML-Parser-3.76            Perl5 module for parsing HTML documents
p5-HTML-Tagset-3.20_1          Some useful data table in parsing HTML
p5-HTTP-Date-6.05              Conversion routines for the HTTP protocol date formats
p5-HTTP-Message-6.33           Representation of HTTP style messages
p5-IO-HTML-1.001_1             Open an HTML file with automatic charset detection
p5-IO-Socket-INET6-2.72_1      Perl module with object interface to AF_INET6 domain sockets
p5-IO-Socket-SSL-2.071         Perl5 interface to SSL sockets
p5-LWP-MediaTypes-6.04         Guess media type for a file or a URL
p5-Mozilla-CA-20200520         Perl extension for Mozilla CA cert bundle in PEM format
p5-Net-SSLeay-1.90             Perl5 interface to SSL
p5-Socket6-0.29                IPv6 related part of the C socket.h defines and structure manipulators
p5-TimeDate-2.33,1             Perl5 module containing a better/faster date parser for absolute dates
p5-URI-5.09                    Perl5 interface to Uniform Resource Identifier (URI) references
pango-1.48.7                   Open-source framework for the layout and rendering of i18n text
pciids-20210627                Database of all known IDs used in PCI devices
pcre-8.44                      Perl Compatible Regular Expressions library
pcre2-10.37                    Perl Compatible Regular Expressions library, version 2
perl5-5.32.1_1                 Practical Extraction and Report Language
pfetch-0.6.0                   Pretty system information tool written in POSIX sh
picom-8.2_1                    Lightweight X11 compositor
pigz-2.4                       Parallel GZIP
pixman-0.40.0_1                Low-level pixel manipulation library
pixz-1.0.7                     Parallel, indexing version of XZ
pkg-1.16.3                     Package manager
png-1.6.37_1                   Library for manipulating PNG images
polkit-0.119                   Framework for controlling access to system-wide components
polybar-3.5.6                  Fast and easy-to-use status bar
pulseaudio-14.2                Sound server for UNIX
py37-evdev-1.3.0               Bindings to the Linux input handling subsystem
py37-pyudev-0.22.0             Pure Python libudev binding
py37-ranger-1.9.3              File manager with VI key bindings
py37-setuptools-57.0.0         Python packages installer
py37-six-1.15.0                Python 2 and 3 compatibility utilities
py38-evdev-1.4.0               Bindings to the Linux input handling subsystem
py38-pyudev-0.22.0             Pure Python libudev binding
py38-setuptools-57.0.0         Python packages installer
py38-six-1.16.0                Python 2 and 3 compatibility utilities
python37-3.7.11                Interpreted object-oriented programming language
python38-3.8.11                Interpreted object-oriented programming language
readline-8.1.1                 Library for editing command lines as they are typed
rofi-1.6.1                     Window switcher, run dialog and dmenu replacement
sessreg-1.1.2                  Manage utmp/wtmp entries for non-init X clients
setxkbmap-1.3.2                Set the keyboard using the X Keyboard Extension
shared-mime-info-2.0           MIME types database from the freedesktop.org project
smproxy-1.0.6                  Session Manager Proxy
speexdsp-1.2.0                 Audio compression format designed for speech
spidermonkey78-78.7.0_5        Standalone JavaScript based from Mozilla 78-esr
sqlite3-3.35.5_3,1             SQL database engine in a C library
startup-notification-0.12_4    Library that supports startup notification spec from freedesktop.org
sxhkd-0.6.2                    Simple X hotkey daemon
tiff-4.3.0                     Tools and library routines for working with TIFF images
tmux-3.2a                      Terminal Multiplexer
tpm-emulator-0.7.4_2           Trusted Platform Module (TPM) emulator
tree-sitter-0.20.0             Incremental parser generator
trousers-0.3.14_3              Open-source TCG Software Stack
twm-1.0.11_1                   Tab Window Manager for the X Window System
unibilium-2.1.0                Very basic terminfo library
wayland-1.19.0_1               Wayland composite "server"
wayland-protocols-1.21         Wayland protocols
webp-1.2.0                     Google WebP image format conversion tool
webrtc-audio-processing0-0.3.1_2 AudioProcessing module from WebRTC project (legacy version)
wget-1.21                      Retrieve files from the Net via HTTP(S) and FTP
x11perf-1.6.1                  X11 server performance test program
x265-3.4_1                     H.265/High Efficiency Video Coding (HEVC) format
xauth-1.1                      X authority file utility
xbacklight-1.2.3               Program to adjust backlight brightness
xbitmaps-1.1.2                 X.Org bitmaps data
xcalc-1.1.0                    Scientific calculator for X
xcb-util-0.4.0_2,1             Module with libxcb/libX11 extension/replacement libraries
xcb-util-cursor-0.1.3          XCB cursor library
xcb-util-image-0.4.0_1         Port of Xlib's XImage and XShmImage functions
xcb-util-keysyms-0.4.0_1       Standard X key constants and conversion to/from keycodes
xcb-util-renderutil-0.3.9_1    Convenience functions for the Render extension
xcb-util-wm-0.4.1_3            Framework for window manager implementation
xcb-util-xrm-1.3               XCB utility functions for the X resource manager
xclock-1.0.9                   Analog and digital clock for X
xcmsdb-1.0.5                   Device Color Characterization utility for X
xconsole-1.0.7_1               Monitor system console messages with X
xcursor-themes-1.0.6           X.org cursors themes
xcursorgen-1.0.7               Create an X cursor file from a collection of PNG images
xdpyinfo-1.3.2_3               Display information utility for X
xdriinfo-1.0.6_4               Query configuration information of DRI drivers
xev-1.2.4                      Print contents of X events
xf86-input-keyboard-1.9.0_4    X.Org keyboard input driver
xf86-input-libinput-0.30.0_1   X.Org libinput input driver
xf86-input-mouse-1.9.3_3       X.Org mouse input driver
xf86-video-intel-2.99.917.916_1,1 X.Org legacy driver for Intel integrated graphics chipsets
xf86-video-scfb-0.0.5_2        X.Org syscons display driver
xf86-video-vesa-2.5.0          X.Org vesa display driver
xf86dga-1.0.3_1                Test program for the XFree86-DGA extension
xgamma-1.0.6                   Gamma correction through the X server
xgc-1.0.5                      X graphics demo
xhost-1.0.8                    Server access control program for X
xinit-1.4.1,1                  X Window System initializer
xinput-1.6.3                   Very useful utility for configuring and testing XInput devices
xkbcomp-1.4.4                  Compile XKB keyboard description
xkbevd-1.1.4                   XKB event daemon
xkbutils-1.0.4_2               XKB utility demos
xkeyboard-config-2.32          X Keyboard Configuration Database
xkill-1.0.5                    Utility for killing a client by its X resource
xlsatoms-1.1.3                 List interned atoms defined on a server
xlsclients-1.1.4               List client applications running on a display
xmessage-1.0.5                 Display message or query in a X window
xmodmap-1.0.10                 Utility for modifying keymaps and pointer button mappings in X
xorg-7.7_3                     X.Org complete distribution metaport
xorg-apps-7.7_4                X.org apps meta-port
xorg-docs-1.7.1,1              X.org documentation files
xorg-drivers-7.7_6             X.org drivers meta-port
xorg-fonts-7.7_1               X.org fonts meta-port
xorg-fonts-100dpi-7.7          X.Org 100dpi bitmap fonts
xorg-fonts-75dpi-7.7           X.Org 75dpi bitmap fonts
xorg-fonts-cyrillic-7.7        X.Org Cyrillic bitmap fonts
xorg-fonts-miscbitmaps-7.7     X.Org miscellaneous bitmap fonts
xorg-fonts-truetype-7.7_1      X.Org TrueType fonts
xorg-fonts-type1-7.7           X.Org Type1 fonts
xorg-libraries-7.7_4           X.org libraries meta-port
xorg-server-1.20.11_3,1        X.Org X server and related programs
xorgproto-2021.4               X Window System unified protocol definitions
xpr-1.0.5                      Utility for printing an X window dump
xprop-1.2.5                    Property displayer for X
xrandr-1.5.1                   Primitive command line interface to the RandR extension
xrdb-1.2.0                     X server resource database utility
xrefresh-1.0.6                 Refresh all or part of an X screen
xset-1.2.4_3                   User preference utility for X
xsetroot-1.1.2                 Root window parameter setting utility for X
xterm-368                      Terminal emulator for the X Window System
xtrans-1.4.0                   Abstract network code for X
xvid-1.3.7,1                   Opensource MPEG-4 codec, based on OpenDivx
xvinfo-1.1.4                   Print out X-Video extension adaptor information
xwd-1.0.7                      Dump an image of an X window
xwininfo-1.1.5                 Window information utility for X
xwud-1.0.5                     Image displayer for X
zopfli-1.0.3_1                 Zopfli Compression Algorithm
zsh-5.8                        The Z shell
zstd-1.5.0                     Fast real-time compression algorithm
